iter	MultiClass	Accuracy
0	1.08617722	0.7571428571
1	1.071287321	0.85
2	1.056584029	0.8714285714
3	1.045048145	0.8714285714
4	1.032975422	0.9
5	1.018222341	0.8928571429
6	1.007446069	0.8857142857
7	0.9934799739	0.8785714286
8	0.9800983536	0.8642857143
9	0.9698440074	0.8857142857
10	0.9601428038	0.8857142857
11	0.9456797591	0.9
12	0.9330596312	0.9
13	0.9202792457	0.9
14	0.9071388817	0.9142857143
15	0.8961723552	0.9071428571
16	0.8849078311	0.9142857143
17	0.8725771841	0.9214285714
18	0.8640546278	0.9214285714
19	0.8553187548	0.9214285714
20	0.846139121	0.9142857143
21	0.8343701205	0.9214285714
22	0.8245649966	0.9214285714
23	0.816415838	0.9214285714
24	0.8080325031	0.9214285714
25	0.7973452015	0.9214285714
26	0.7891778984	0.9214285714
27	0.779142668	0.9142857143
28	0.7716492406	0.9142857143
29	0.7640355726	0.9142857143
30	0.7553325581	0.9071428571
31	0.7458822937	0.9071428571
32	0.7378114977	0.9071428571
33	0.7324690423	0.9142857143
34	0.7253146344	0.9071428571
35	0.7186604702	0.9142857143
36	0.7116568882	0.9214285714
37	0.7047396951	0.9142857143
38	0.6972146778	0.9214285714
39	0.6904498065	0.9285714286
40	0.6848817864	0.9285714286
41	0.6768784118	0.9214285714
42	0.6714904058	0.9214285714
43	0.664068022	0.9214285714
44	0.6583239806	0.9214285714
45	0.6529176795	0.9142857143
46	0.6473355444	0.9285714286
47	0.6435314173	0.9142857143
48	0.6377589218	0.9142857143
49	0.6319570748	0.9142857143
50	0.6260425736	0.9142857143
51	0.619980189	0.9142857143
52	0.6139839999	0.9142857143
53	0.6077276777	0.9214285714
54	0.601511347	0.9214285714
55	0.5978202065	0.9214285714
56	0.592738351	0.9214285714
57	0.5878382171	0.9214285714
58	0.5836604303	0.9214285714
59	0.5800345456	0.9285714286
60	0.5744043202	0.9285714286
61	0.5691509467	0.9357142857
62	0.5650485346	0.9357142857
63	0.5611226891	0.9357142857
64	0.5579480539	0.9357142857
65	0.5532548431	0.9428571429
66	0.548318123	0.9357142857
67	0.5440618955	0.9357142857
68	0.5400011085	0.9428571429
69	0.5356865079	0.9428571429
70	0.5331855728	0.9428571429
71	0.5292758735	0.95
72	0.5253856711	0.95
73	0.5219383768	0.9428571429
74	0.517766087	0.9428571429
75	0.5138590566	0.95
76	0.510241132	0.95
77	0.5067295732	0.95
78	0.5035622651	0.9428571429
79	0.4996300315	0.95
80	0.4957934397	0.95
81	0.4919374854	0.95
82	0.4890129079	0.95
83	0.4854541866	0.95
84	0.4819146286	0.95
85	0.4784778197	0.95
86	0.475154743	0.95
87	0.4707533436	0.95
88	0.4670412385	0.95
89	0.463755781	0.95
90	0.4602592659	0.95
91	0.4571352004	0.95
92	0.4546419156	0.95
93	0.4517088362	0.95
94	0.4489546362	0.95
95	0.4458898967	0.95
96	0.442582965	0.95
97	0.4400647669	0.95
98	0.4368904688	0.9571428571
99	0.4345667842	0.9571428571
100	0.4318073779	0.9571428571
101	0.4293035841	0.9571428571
102	0.4270336342	0.9571428571
103	0.4249642264	0.9571428571
104	0.4217381978	0.9571428571
105	0.419037527	0.9571428571
106	0.4166933661	0.9571428571
107	0.4140167704	0.9571428571
108	0.4127270331	0.9571428571
109	0.4103000817	0.9571428571
110	0.4076571304	0.9571428571
111	0.4044665577	0.9571428571
112	0.4020874818	0.9571428571
113	0.3996146828	0.9571428571
114	0.3973865586	0.9571428571
115	0.3952263711	0.9571428571
116	0.3926950869	0.9571428571
117	0.3910109071	0.9571428571
118	0.3882486468	0.9571428571
119	0.3864976617	0.9571428571
120	0.384446245	0.9571428571
121	0.3819695473	0.9571428571
122	0.3795904479	0.9571428571
123	0.3768978568	0.9571428571
124	0.3751290542	0.9571428571
125	0.373146474	0.9571428571
126	0.3710331703	0.9642857143
127	0.3688787051	0.9642857143
128	0.3666837576	0.9642857143
129	0.3643263532	0.9642857143
130	0.3625207756	0.9642857143
131	0.360726616	0.9642857143
132	0.3586118355	0.9642857143
133	0.3562165508	0.9642857143
134	0.3545526448	0.9642857143
135	0.3528894161	0.9642857143
136	0.3506182452	0.9642857143
137	0.3479893611	0.9642857143
138	0.3457810598	0.9642857143
139	0.3440828306	0.9642857143
140	0.3423253535	0.9642857143
141	0.3407892527	0.9642857143
142	0.3386799315	0.9714285714
143	0.3366717214	0.9642857143
144	0.3347200323	0.9642857143
145	0.3336115846	0.9714285714
146	0.332108108	0.9642857143
147	0.3307310242	0.9642857143
148	0.3291612783	0.9714285714
149	0.3276369531	0.9714285714
150	0.3259066074	0.9714285714
151	0.3243075077	0.9714285714
152	0.322767871	0.9642857143
153	0.3210833746	0.9714285714
154	0.3195146591	0.9714285714
155	0.3180376185	0.9642857143
156	0.3168987674	0.9642857143
157	0.3156347293	0.9714285714
158	0.3139993768	0.9714285714
159	0.3124134512	0.9642857143
160	0.3109378729	0.9642857143
161	0.3096899893	0.9714285714
162	0.3078927062	0.9714285714
163	0.305694006	0.9714285714
164	0.3036199925	0.9714285714
165	0.302445054	0.9714285714
166	0.3008859675	0.9714285714
167	0.2993032607	0.9714285714
168	0.2978356593	0.9714285714
169	0.2962752689	0.9714285714
170	0.2949479711	0.9714285714
171	0.2935512457	0.9714285714
172	0.2921796204	0.9714285714
173	0.290674218	0.9714285714
174	0.288710108	0.9714285714
175	0.2871703447	0.9714285714
176	0.2859186392	0.9714285714
177	0.2848952624	0.9714285714
178	0.2837847671	0.9714285714
179	0.2822302088	0.9714285714
180	0.280379406	0.9714285714
181	0.2789057329	0.9714285714
182	0.2774849428	0.9714285714
183	0.2761188057	0.9714285714
184	0.2747785065	0.9714285714
185	0.2736495538	0.9714285714
186	0.2724700463	0.9714285714
187	0.270855367	0.9714285714
188	0.2698892729	0.9714285714
189	0.2686897119	0.9714285714
190	0.2671918722	0.9714285714
191	0.2659040206	0.9714285714
192	0.264451639	0.9714285714
193	0.2629773081	0.9714285714
194	0.2617423349	0.9714285714
195	0.2604321923	0.9714285714
196	0.2590950402	0.9714285714
197	0.2579892367	0.9714285714
198	0.2566720289	0.9714285714
199	0.2556441947	0.9714285714
200	0.2542710889	0.9714285714
201	0.2530777486	0.9714285714
202	0.2517476398	0.9714285714
203	0.2507114076	0.9714285714
204	0.2496241127	0.9714285714
205	0.2483003577	0.9714285714
206	0.2468911248	0.9714285714
207	0.2457853219	0.9714285714
208	0.2442981543	0.9714285714
209	0.2431043041	0.9714285714
210	0.2419095962	0.9714285714
211	0.2407043785	0.9714285714
212	0.2393141849	0.9714285714
213	0.2379991608	0.9714285714
214	0.2366519744	0.9714285714
215	0.2355046257	0.9714285714
216	0.2340622244	0.9714285714
217	0.2330823428	0.9714285714
218	0.2319931818	0.9714285714
219	0.2306387831	0.9714285714
220	0.2295609639	0.9714285714
221	0.2288570379	0.9714285714
222	0.2278126381	0.9714285714
223	0.2265206953	0.9714285714
224	0.225108861	0.9714285714
225	0.2240253869	0.9714285714
226	0.2226788035	0.9714285714
227	0.221487107	0.9714285714
228	0.2203279928	0.9785714286
229	0.2196592839	0.9785714286
230	0.2186579065	0.9785714286
231	0.2175868975	0.9785714286
232	0.216726917	0.9785714286
233	0.2155790576	0.9785714286
234	0.2148219204	0.9785714286
235	0.2135498484	0.9785714286
236	0.2123966832	0.9785714286
237	0.2116833337	0.9785714286
238	0.2108062453	0.9785714286
239	0.2096741767	0.9785714286
240	0.2084903411	0.9785714286
241	0.2072408752	0.9785714286
242	0.2064369241	0.9785714286
243	0.2056351897	0.9785714286
244	0.2044336682	0.9785714286
245	0.203685364	0.9785714286
246	0.2026118065	0.9785714286
247	0.201513732	0.9785714286
248	0.200328891	0.9785714286
249	0.1994875196	0.9785714286
250	0.1985514386	0.9785714286
251	0.1976313518	0.9785714286
252	0.1966054335	0.9785714286
253	0.1956145757	0.9785714286
254	0.1945039755	0.9785714286
255	0.1934174373	0.9857142857
256	0.1924164874	0.9857142857
257	0.1913482176	0.9857142857
258	0.1904221816	0.9857142857
259	0.1893973064	0.9857142857
260	0.1884601858	0.9857142857
261	0.1877726723	0.9857142857
262	0.1867949301	0.9857142857
263	0.1858084288	0.9857142857
264	0.1850362408	0.9857142857
265	0.1844219386	0.9857142857
266	0.183371918	0.9857142857
267	0.1826353068	0.9857142857
268	0.1817740349	0.9857142857
269	0.1809251627	0.9857142857
270	0.1801073093	0.9857142857
271	0.1792572644	0.9857142857
272	0.1783600178	0.9857142857
273	0.1776724444	0.9857142857
274	0.1772308181	0.9857142857
275	0.1762315161	0.9857142857
276	0.1754196014	0.9857142857
277	0.1745784055	0.9857142857
278	0.1739540849	0.9857142857
279	0.1731712829	0.9857142857
280	0.172495553	0.9857142857
281	0.1717216735	0.9857142857
282	0.1710952386	0.9857142857
283	0.1704979068	0.9857142857
284	0.1700496264	0.9857142857
285	0.1690846507	0.9857142857
286	0.1685648633	0.9857142857
287	0.1677688336	0.9928571429
288	0.1669014018	0.9928571429
289	0.1660731354	0.9928571429
290	0.1653343856	0.9928571429
291	0.1644889878	0.9928571429
292	0.1638302572	0.9928571429
293	0.1631945262	0.9928571429
294	0.1625080494	0.9928571429
295	0.1616970226	0.9928571429
296	0.1612825844	0.9928571429
297	0.1606272226	0.9928571429
298	0.1601730736	0.9928571429
299	0.1596243649	0.9928571429
300	0.1590844599	0.9928571429
301	0.1585396668	0.9928571429
302	0.1581212356	0.9928571429
303	0.1575453212	0.9928571429
304	0.1568870882	0.9928571429
305	0.1562352747	0.9928571429
306	0.1557089903	0.9928571429
307	0.1552865151	0.9928571429
308	0.1549161488	0.9928571429
309	0.1543631349	0.9928571429
310	0.1537858826	0.9928571429
311	0.1531974407	0.9928571429
312	0.1526234297	0.9928571429
313	0.1518535138	0.9928571429
314	0.1512679064	0.9928571429
315	0.1506567467	0.9928571429
316	0.1501875734	0.9928571429
317	0.149855927	0.9928571429
318	0.1492048263	0.9928571429
319	0.1487945405	0.9928571429
320	0.1482073613	0.9928571429
321	0.1476684591	0.9928571429
322	0.1471850186	0.9928571429
323	0.1468461879	0.9928571429
324	0.1463274137	0.9928571429
325	0.1458642766	0.9928571429
326	0.1453237951	0.9928571429
327	0.1449533857	0.9928571429
328	0.1446629827	0.9928571429
329	0.1440743763	0.9928571429
330	0.1433629504	0.9928571429
331	0.142780734	0.9928571429
332	0.1422740918	0.9928571429
333	0.1416530409	0.9928571429
334	0.1410824733	0.9928571429
335	0.1405123397	0.9928571429
336	0.1399141352	0.9928571429
337	0.139254221	0.9928571429
338	0.1388427502	0.9928571429
339	0.1381597851	0.9928571429
340	0.1376680995	0.9928571429
341	0.1373636443	0.9928571429
342	0.1366302579	0.9928571429
343	0.1360887133	0.9928571429
344	0.1356060159	0.9928571429
345	0.1350865736	0.9928571429
346	0.1345534756	0.9928571429
347	0.1340695867	0.9928571429
348	0.1335592793	0.9928571429
349	0.1332023297	0.9928571429
350	0.132865371	0.9928571429
351	0.1324189742	0.9928571429
352	0.1319694736	0.9928571429
353	0.13160213	0.9928571429
354	0.131240613	0.9928571429
355	0.1308670775	0.9928571429
356	0.1304147586	0.9928571429
357	0.1298370552	0.9928571429
358	0.1293310598	0.9928571429
359	0.1288417948	0.9928571429
360	0.1283888521	0.9928571429
361	0.127877279	0.9928571429
362	0.1274915741	0.9928571429
363	0.1270158703	0.9928571429
364	0.1265237194	0.9928571429
365	0.1261650982	1
366	0.1259422702	1
367	0.1255267851	1
368	0.1251661761	1
369	0.1246491431	1
370	0.1242706373	1
371	0.1238591302	1
372	0.1234475958	1
373	0.1229101691	1
374	0.1226475432	1
375	0.1222103585	1
376	0.1217638695	1
377	0.1213082463	1
378	0.1210175428	1
379	0.1206788636	1
380	0.1202747578	1
381	0.1200060691	1
382	0.1194602462	1
383	0.1191419124	1
384	0.1187698587	1
385	0.1182702333	1
386	0.1178189018	1
387	0.1173461946	1
388	0.1169890822	1
389	0.1166230572	1
390	0.1162938901	1
