iter	MultiClass	Accuracy
0	1.090337733	0.8
1	1.083399759	0.9428571429
2	1.073785723	1
3	1.062741469	0.9714285714
4	1.054594016	1
5	1.043551831	0.9714285714
6	1.037016334	0.9714285714
7	1.02862546	0.9428571429
8	1.022947011	0.9714285714
9	1.01431118	1
10	1.007233705	1
11	0.9997061629	0.9714285714
12	0.9943417656	1
13	0.9876598181	0.9714285714
14	0.9800159088	0.9714285714
15	0.970817055	0.9714285714
16	0.9631278334	0.9714285714
17	0.9565675049	0.9714285714
18	0.9509388033	0.9714285714
19	0.9457061254	0.9714285714
20	0.9392558761	0.9714285714
21	0.9312275063	0.9714285714
22	0.9259126615	0.9714285714
23	0.9168514335	0.9714285714
24	0.9107268651	0.9714285714
25	0.903662849	0.9714285714
26	0.8959450213	0.9714285714
27	0.8878980903	0.9714285714
28	0.8819636477	0.9714285714
29	0.8768255166	0.9714285714
30	0.8693777388	0.9714285714
31	0.8657064234	0.9714285714
32	0.8593141282	0.9714285714
33	0.8527749389	0.9714285714
34	0.8458309141	0.9714285714
35	0.8378409666	0.9714285714
36	0.8294685538	0.9714285714
37	0.8239109638	0.9714285714
38	0.8174057611	0.9714285714
39	0.8127880416	0.9714285714
40	0.804976586	0.9714285714
41	0.799827766	0.9714285714
42	0.7961529803	0.9714285714
43	0.79052304	0.9714285714
44	0.7864873882	0.9714285714
45	0.7791756649	0.9714285714
46	0.7749252824	0.9714285714
47	0.7671520711	0.9714285714
48	0.7619231729	0.9714285714
49	0.7559838694	0.9714285714
50	0.7508112585	0.9714285714
51	0.7441162835	0.9714285714
52	0.7375208789	0.9714285714
53	0.7311249535	0.9714285714
54	0.7259999859	0.9714285714
55	0.7217202172	0.9714285714
56	0.7179948167	0.9714285714
57	0.7144027484	0.9714285714
58	0.7107170293	0.9714285714
59	0.7042734431	0.9714285714
60	0.7004747808	1
61	0.6938986782	1
62	0.6900090748	1
63	0.6859253379	1
64	0.6824729413	1
65	0.6786156755	1
66	0.6738040193	1
67	0.6683139776	1
68	0.6645159932	1
69	0.6603504747	1
70	0.6564960458	1
71	0.6531890022	1
72	0.6479179599	1
73	0.6428890281	1
74	0.6393506335	1
75	0.6362745982	1
76	0.6326525599	1
77	0.6276870201	1
78	0.6236224376	1
79	0.6205199436	1
80	0.6152453633	1
81	0.6118386023	1
82	0.6069908042	1
83	0.6017357684	1
84	0.5975748252	1
85	0.5943969669	1
86	0.5907482196	1
87	0.586504651	1
88	0.5834163062	1
89	0.5795917062	1
90	0.5764012962	1
91	0.5710254969	1
92	0.5675051632	1
93	0.5630275551	1
94	0.5593364496	1
95	0.5543675885	1
96	0.5501871982	1
97	0.5467610182	1
98	0.5421500144	1
99	0.539228407	1
100	0.5361025102	1
101	0.5337721884	1
102	0.5296302051	1
103	0.526513921	1
104	0.5225934761	1
105	0.5182515491	1
106	0.5157746783	1
107	0.5124888446	1
108	0.5097510401	1
109	0.5061303546	1
110	0.5012641972	1
111	0.498451339	1
112	0.4953639257	1
113	0.492188874	1
114	0.4896111946	1
115	0.4862580282	1
116	0.4835819356	1
117	0.4813012904	1
118	0.475892735	1
119	0.4732521363	1
120	0.4704177792	1
121	0.4668613213	1
122	0.4642244107	1
123	0.4616996863	1
124	0.4594780692	1
125	0.4573758133	1
126	0.4540554931	1
127	0.4514727132	1
128	0.4483051414	1
129	0.4461291427	1
130	0.4430016065	1
131	0.440528091	1
132	0.4373562558	1
133	0.4347075917	1
134	0.4325415101	1
135	0.4297367747	1
136	0.4273369238	1
137	0.4246152421	1
138	0.4218341143	1
139	0.4188830671	1
140	0.4155063119	1
141	0.4123864895	1
142	0.4088073905	1
143	0.4067979914	1
144	0.4042962806	1
145	0.4023150987	1
146	0.399558569	1
147	0.3972892557	1
148	0.3953360629	1
149	0.392752015	1
150	0.3904238171	1
151	0.3876515574	1
152	0.3850061062	1
153	0.3822914632	1
154	0.3796078058	1
155	0.3762649008	1
156	0.3737321076	1
157	0.3719767234	1
158	0.3699938518	1
159	0.3670288789	1
160	0.3654406523	1
161	0.3638601623	1
162	0.3621014892	1
163	0.3587931352	1
164	0.3569276956	1
165	0.3540807811	1
166	0.3521527187	1
167	0.3493884437	1
168	0.3476838419	1
169	0.34540902	1
170	0.3435458436	1
171	0.3416719513	1
172	0.3400327535	1
173	0.3383843115	1
174	0.3362713915	1
175	0.3345802593	1
176	0.3329469397	1
177	0.3311544358	1
178	0.3280879966	1
179	0.3261250404	1
180	0.3241793007	1
181	0.3226699986	1
182	0.3206494239	1
183	0.3182534027	1
184	0.3158794918	1
185	0.3143275782	1
186	0.3124099556	1
187	0.3109107205	1
188	0.3087697867	1
189	0.3069749083	1
190	0.305228582	1
191	0.3025612642	1
192	0.3006436529	1
193	0.2995162572	1
194	0.2981962111	1
195	0.2966152315	1
196	0.2947058221	1
197	0.2924505206	1
198	0.2911208936	1
199	0.2893976568	1
200	0.287265607	1
201	0.28493233	1
202	0.2830157059	1
203	0.281484118	1
204	0.2798272623	1
205	0.2781376909	1
206	0.2769702611	1
207	0.2754240237	1
208	0.2736778468	1
209	0.271689311	1
210	0.2702740845	1
211	0.2689506406	1
212	0.2671630624	1
213	0.2658424491	1
214	0.2644158172	1
215	0.2631844078	1
216	0.2617495785	1
217	0.2602602952	1
218	0.259033154	1
219	0.2570254496	1
220	0.2554737909	1
221	0.2539665577	1
222	0.2526510671	1
223	0.2514615888	1
224	0.250096778	1
225	0.2487234689	1
226	0.2476271238	1
227	0.2464115422	1
228	0.2451263832	1
229	0.2439309504	1
230	0.2426790381	1
231	0.2414000095	1
232	0.2401582494	1
233	0.2385314091	1
234	0.2374205765	1
235	0.2357526635	1
236	0.2343681465	1
237	0.2330601387	1
238	0.2315933783	1
239	0.2300490241	1
240	0.2288205342	1
241	0.2276384154	1
242	0.2263300226	1
243	0.2248880732	1
244	0.2237572154	1
245	0.2226202192	1
246	0.2215137147	1
247	0.2201283328	1
248	0.2192062664	1
249	0.2180380786	1
250	0.2169570827	1
251	0.215600617	1
252	0.2144838499	1
253	0.2134801105	1
254	0.2123622437	1
255	0.2112128467	1
256	0.210298578	1
257	0.2092172389	1
258	0.2084435931	1
259	0.2073723875	1
260	0.2065321159	1
261	0.2055760951	1
262	0.2044633718	1
263	0.2034564334	1
264	0.2021331486	1
265	0.2009202494	1
266	0.199647025	1
267	0.1987410459	1
268	0.1976380565	1
269	0.1966919677	1
270	0.1958012503	1
271	0.1948839568	1
272	0.1938150626	1
273	0.1930196052	1
274	0.1921745895	1
275	0.1912744075	1
276	0.1906889574	1
277	0.1898369601	1
278	0.1892375483	1
279	0.1883014441	1
280	0.1873094578	1
281	0.1863047161	1
282	0.185404324	1
283	0.1845981836	1
284	0.183715369	1
285	0.1827337387	1
286	0.1820001251	1
287	0.1812063463	1
288	0.1805429741	1
289	0.1798367838	1
290	0.179044259	1
291	0.1779262932	1
292	0.1771147555	1
293	0.1762704799	1
294	0.1756823732	1
295	0.1748253211	1
296	0.1740605893	1
297	0.1731733188	1
298	0.1724762376	1
299	0.1717327949	1
300	0.1709964452	1
301	0.1699692142	1
302	0.169269624	1
303	0.1687192606	1
304	0.1680906651	1
305	0.1673617183	1
306	0.1667412546	1
307	0.1657488175	1
308	0.1649556173	1
309	0.1643274134	1
310	0.1634488721	1
311	0.1628604085	1
312	0.1622120531	1
313	0.1615207365	1
314	0.1609445365	1
315	0.1602650312	1
316	0.1595623323	1
317	0.1589577031	1
318	0.1583674691	1
319	0.1576973364	1
320	0.1570209632	1
321	0.1561374415	1
322	0.1556270773	1
323	0.1551507185	1
324	0.1545577956	1
325	0.1539469133	1
326	0.1533385325	1
327	0.1525312689	1
328	0.1518990131	1
329	0.1513013012	1
330	0.1507036424	1
331	0.1503003289	1
332	0.149671	1
333	0.1491213834	1
334	0.1485408644	1
335	0.1478206468	1
336	0.147210133	1
337	0.1467775494	1
338	0.1461741051	1
339	0.1454166302	1
340	0.1447133311	1
341	0.1440240144	1
342	0.1434669128	1
343	0.1430179389	1
344	0.1425056472	1
345	0.1419655726	1
346	0.141235304	1
347	0.1407474453	1
348	0.1401626748	1
349	0.1396228216	1
350	0.13905021	1
351	0.1386358194	1
352	0.1382199176	1
353	0.1374748649	1
354	0.1369585251	1
355	0.1363941426	1
356	0.1359117885	1
357	0.1354631511	1
358	0.1350212014	1
359	0.1345487367	1
360	0.1340976052	1
361	0.1337454066	1
362	0.133295552	1
363	0.1326672057	1
364	0.132283868	1
365	0.1318280029	1
366	0.1314523039	1
367	0.1310791302	1
368	0.1307025543	1
369	0.1303015037	1
370	0.1297739906	1
371	0.1291852515	1
372	0.1287036285	1
373	0.1280729088	1
374	0.1275086474	1
375	0.1270663201	1
376	0.1267009659	1
377	0.1263393717	1
378	0.1258675652	1
379	0.1253645337	1
380	0.1247868654	1
381	0.1241846978	1
382	0.1235913293	1
383	0.1230759342	1
384	0.1227154309	1
385	0.122354421	1
386	0.1217887684	1
387	0.1213011998	1
388	0.1207515243	1
389	0.1203069294	1
390	0.1199853094	1
391	0.1195009053	1
392	0.1189199017	1
393	0.1185784223	1
394	0.1181244535	1
395	0.1177529117	1
396	0.1173714171	1
397	0.1168580417	1
398	0.1164519943	1
399	0.1160189181	1
400	0.1155027767	1
401	0.1150535782	1
402	0.1145554532	1
403	0.1142846987	1
404	0.1139361961	1
405	0.1134328461	1
406	0.1131220094	1
407	0.1128386919	1
408	0.1123857079	1
409	0.1120216072	1
410	0.1115888816	1
411	0.1112941536	1
412	0.1107840036	1
413	0.1104235438	1
414	0.1100840098	1
415	0.109763768	1
416	0.1095010768	1
417	0.1090754795	1
418	0.1087739807	1
419	0.1084511274	1
420	0.1082332371	1
421	0.1078459791	1
422	0.1075407838	1
423	0.1072594163	1
424	0.1068914247	1
425	0.1065540016	1
426	0.1061996216	1
427	0.1057914593	1
428	0.1054117095	1
429	0.104950641	1
430	0.1045964314	1
431	0.1043568459	1
432	0.1040864424	1
433	0.1038792422	1
434	0.1036047699	1
435	0.1033046716	1
436	0.1029468834	1
437	0.1027200321	1
438	0.1023562727	1
439	0.102023342	1
440	0.1016164997	1
441	0.1013786071	1
442	0.1011187521	1
443	0.1007701246	1
444	0.1004460413	1
445	0.1001781262	1
446	0.09981366669	1
447	0.09949640269	1
448	0.09919638212	1
449	0.09895509505	1
450	0.09866398769	1
451	0.09843669188	1
452	0.09820123827	1
453	0.0979363284	1
454	0.09768171304	1
455	0.09742016054	1
456	0.09714852758	1
