iter	Passed	Remaining
0	2	5041
1	4	4445
2	6	4179
3	8	4071
4	9	3987
5	11	3957
6	13	3882
7	15	3856
8	17	3839
9	19	3793
10	20	3764
11	22	3740
12	24	3727
13	26	3765
14	28	3748
15	30	3778
16	32	3762
17	34	3754
18	36	3781
19	38	3849
20	40	3831
21	43	3893
22	45	3907
23	47	3893
24	49	3876
25	50	3855
26	51	3787
27	54	3865
28	56	3849
29	58	3833
30	60	3818
31	62	3842
32	64	3835
33	66	3823
34	67	3806
35	69	3793
36	71	3803
37	73	3794
38	75	3789
39	77	3782
40	78	3769
41	80	3774
42	82	3760
43	84	3752
44	86	3742
45	87	3734
46	90	3768
47	92	3766
48	94	3758
49	96	3767
50	98	3761
51	100	3774
52	102	3764
53	104	3775
54	106	3767
55	108	3774
56	110	3766
57	112	3757
58	113	3750
59	115	3744
60	117	3747
61	119	3740
62	121	3732
63	123	3725
64	125	3724
65	127	3728
66	128	3720
67	130	3716
68	132	3717
69	134	3711
70	137	3740
71	139	3746
72	142	3751
73	144	3764
74	147	3777
75	149	3796
76	152	3807
77	154	3810
78	156	3804
79	158	3809
80	160	3805
81	164	3842
82	166	3853
83	168	3850
84	170	3843
85	172	3838
86	174	3845
87	177	3849
88	179	3845
89	180	3840
90	182	3838
91	184	3833
92	186	3828
93	188	3825
94	193	3877
95	197	3917
96	200	3933
97	202	3932
98	204	3934
99	206	3931
100	208	3925
101	210	3922
102	212	3916
103	214	3916
104	216	3909
105	218	3904
106	220	3900
107	222	3894
108	224	3887
109	225	3880
110	227	3875
111	229	3875
112	231	3868
113	233	3863
114	235	3860
115	237	3864
116	239	3859
117	241	3853
118	243	3848
119	245	3844
120	247	3840
121	249	3835
122	250	3829
123	252	3822
124	254	3816
125	256	3814
126	258	3811
127	259	3796
128	261	3791
129	263	3787
130	265	3784
131	267	3779
132	268	3773
133	270	3768
134	272	3768
135	274	3766
136	277	3772
137	279	3767
138	281	3763
139	283	3760
140	285	3768
141	287	3763
142	289	3757
143	291	3755
144	293	3756
145	295	3756
146	297	3750
147	299	3745
148	301	3740
149	303	3740
150	305	3735
151	306	3729
152	308	3728
153	311	3734
154	313	3729
155	315	3725
156	317	3721
157	318	3717
158	320	3715
159	322	3710
160	324	3705
161	326	3699
162	327	3696
163	330	3694
164	331	3691
165	333	3687
166	335	3682
167	337	3681
168	340	3689
169	342	3687
170	344	3684
171	346	3679
172	348	3682
173	350	3681
174	352	3680
175	354	3676
176	358	3689
177	360	3687
178	364	3707
179	368	3722
180	371	3731
181	376	3760
182	385	3826
183	410	4055
184	415	4076
185	446	4350
186	455	4412
187	462	4461
188	468	4490
189	472	4501
190	474	4498
191	477	4496
192	479	4486
193	481	4480
194	483	4473
195	485	4466
196	487	4457
197	489	4453
198	491	4446
199	493	4441
200	495	4435
201	497	4429
202	499	4420
203	501	4413
204	503	4412
205	507	4415
206	509	4412
207	512	4411
208	513	4403
209	515	4396
210	518	4394
211	522	4404
212	524	4397
213	527	4398
214	529	4397
215	531	4391
216	533	4386
217	535	4378
218	537	4372
219	540	4373
220	542	4366
221	544	4358
222	545	4350
223	548	4345
224	550	4341
225	552	4336
226	555	4336
227	557	4330
228	559	4323
229	560	4316
230	563	4311
231	564	4304
232	566	4296
233	569	4299
234	571	4291
235	573	4288
236	575	4280
237	578	4283
238	581	4281
239	584	4287
240	586	4283
241	588	4277
242	590	4270
243	592	4265
244	594	4258
245	596	4253
246	598	4247
247	601	4246
248	603	4241
249	605	4237
250	607	4233
251	609	4226
252	611	4219
253	612	4213
254	617	4225
255	621	4236
256	624	4235
257	627	4234
258	629	4229
259	633	4241
260	637	4250
261	640	4249
262	643	4247
263	647	4260
264	652	4272
265	654	4266
266	656	4259
267	658	4252
268	660	4249
269	664	4260
270	667	4259
271	669	4253
272	671	4247
273	673	4242
274	675	4237
275	679	4242
276	681	4239
277	684	4239
278	686	4232
279	687	4225
280	690	4223
281	694	4228
282	698	4234
283	699	4228
284	701	4221
285	703	4217
286	705	4213
287	709	4215
288	712	4218
289	714	4212
290	716	4206
291	718	4203
292	721	4201
293	724	4202
294	726	4199
295	728	4193
296	730	4188
297	732	4182
298	734	4178
299	736	4171
300	738	4165
301	742	4176
302	747	4183
303	751	4194
304	757	4209
305	761	4215
306	766	4227
307	771	4238
308	773	4235
309	775	4229
310	777	4222
311	780	4220
312	783	4222
313	787	4229
314	789	4224
315	792	4220
316	794	4218
317	796	4214
318	798	4209
319	800	4204
320	803	4202
321	805	4197
322	807	4190
323	809	4185
324	811	4182
325	813	4176
326	815	4170
327	818	4174
328	824	4185
329	826	4183
330	828	4178
331	831	4175
332	834	4178
333	838	4184
334	840	4179
335	844	4181
336	846	4178
337	851	4185
338	853	4184
339	856	4179
340	858	4175
341	860	4169
342	861	4164
343	864	4163
344	867	4160
345	871	4164
346	874	4164
347	876	4159
348	878	4154
349	882	4158
350	885	4158
351	887	4153
352	897	4188
353	899	4184
354	902	4180
355	905	4183
356	1052	4845
357	1085	4980
358	1088	4973
359	1090	4967
360	1096	4980
361	1101	4982
362	1105	4984
363	1109	4985
364	1113	4988
365	1117	4991
366	1122	4994
367	1126	4996
368	1131	4999
369	1135	5001
370	1139	5002
371	1144	5007
372	1147	5007
373	1151	5004
374	1153	4998
375	1155	4989
376	1157	4980
377	1160	4978
378	1161	4969
379	1163	4961
380	1165	4952
381	1168	4951
382	1172	4948
383	1176	4950
384	1180	4952
385	1184	4954
386	1189	4956
387	1193	4957
388	1197	4960
389	1201	4960
390	1209	4975
391	1213	4977
392	1216	4972
393	1219	4970
394	1223	4971
395	1227	4971
396	1231	4971
397	1234	4968
398	1237	4965
399	1239	4956
400	1241	4949
401	1243	4942
402	1245	4934
403	1246	4925
404	1249	4919
405	1251	4913
406	1253	4906
407	1255	4899
408	1257	4890
409	1259	4882
410	1260	4874
411	1263	4868
412	1265	4860
413	1268	4861
414	1273	4862
415	1276	4860
416	1278	4853
417	1282	4854
418	1286	4853
419	1288	4846
420	1291	4842
421	1293	4835
422	1294	4826
423	1298	4827
424	1301	4823
425	1303	4815
426	1304	4807
427	1309	4808
428	1312	4807
429	1316	4806
430	1318	4799
431	1320	4791
432	1322	4786
433	1324	4779
434	1327	4775
435	1331	4777
436	1333	4770
437	1336	4764
438	1337	4757
439	1339	4749
440	1341	4742
441	1345	4742
442	1347	4735
443	1350	4731
444	1352	4725
445	1354	4720
446	1356	4713
447	1360	4713
448	1363	4708
449	1365	4702
450	1367	4698
451	1370	4692
452	1372	4686
453	1375	4683
454	1377	4675
455	1378	4668
456	1381	4663
457	1382	4655
458	1384	4648
459	1386	4641
460	1388	4636
461	1391	4633
462	1394	4628
463	1396	4622
464	1398	4615
465	1400	4609
466	1402	4604
467	1406	4604
468	1410	4603
469	1412	4597
470	1413	4589
471	1415	4582
472	1418	4578
473	1422	4578
474	1425	4576
475	1427	4571
476	1429	4564
477	1431	4557
478	1433	4551
479	1436	4550
480	1441	4553
481	1443	4547
482	1445	4540
483	1447	4534
484	1449	4528
485	1452	4523
486	1454	4519
487	1456	4513
488	1458	4507
489	1460	4500
490	1462	4494
491	1464	4487
492	1466	4483
493	1471	4486
494	1476	4487
495	1479	4484
496	1483	4487
497	1487	4485
498	1489	4479
499	1492	4476
500	1494	4470
501	1497	4468
502	1502	4473
503	1504	4466
504	1506	4460
505	1508	4454
506	1510	4448
507	1515	4451
508	1518	4446
509	1520	4443
510	1522	4436
511	1524	4430
512	1526	4423
513	1530	4426
514	1534	4423
515	1535	4416
516	1537	4411
517	1540	4406
518	1544	4408
519	1548	4406
520	1550	4402
521	1552	4397
522	1555	4392
523	1559	4392
524	1561	4386
525	1563	4380
526	1565	4374
527	1567	4369
528	1569	4363
529	1571	4357
530	1574	4356
531	1576	4351
532	1578	4345
533	1580	4340
534	1582	4334
535	1585	4329
536	1588	4327
537	1591	4324
538	1594	4322
539	1596	4317
540	1598	4311
541	1602	4309
542	1605	4308
543	1607	4302
544	1609	4297
545	1612	4295
546	1615	4291
547	1617	4286
548	1620	4284
549	1623	4279
550	1625	4275
551	1629	4274
552	1637	4284
553	1640	4281
554	1642	4275
555	1644	4269
556	1647	4267
557	1648	4261
558	1652	4258
559	1653	4252
560	1655	4247
561	1658	4243
562	1660	4238
563	1662	4233
564	1664	4227
565	1667	4223
566	1669	4219
567	1671	4213
568	1672	4207
569	1675	4202
570	1677	4198
571	1681	4198
572	1684	4195
573	1686	4189
574	1688	4184
575	1690	4178
576	1692	4172
577	1693	4167
578	1695	4160
579	1698	4158
580	1700	4152
581	1702	4146
582	1703	4140
583	1705	4135
584	1707	4129
585	1708	4122
586	1710	4116
587	1711	4110
588	1714	4107
589	1715	4100
590	1717	4094
591	1719	4088
592	1721	4083
593	1722	4077
594	1724	4072
595	1726	4066
596	1728	4061
597	1729	4055
598	1731	4049
599	1733	4044
600	1735	4039
601	1737	4035
602	1739	4029
603	1740	4023
604	1744	4021
605	1747	4020
606	1752	4021
607	1754	4018
608	1756	4012
609	1758	4007
610	1762	4006
611	1764	4001
612	1766	3996
613	1767	3990
614	1769	3984
615	1771	3979
616	1772	3974
617	1776	3973
618	1778	3967
619	1780	3963
620	1782	3957
621	1783	3951
622	1785	3945
623	1786	3940
624	1788	3935
625	1792	3934
626	1796	3932
627	1797	3928
628	1799	3922
629	1802	3918
630	1804	3914
631	1808	3914
632	1810	3910
633	1812	3905
634	1814	3899
635	1816	3895
636	1818	3890
637	1821	3887
638	1825	3889
639	1829	3886
640	1830	3881
641	1832	3876
642	1834	3872
643	1839	3872
644	1841	3869
645	1843	3863
646	1845	3859
647	1847	3854
648	1849	3849
649	1851	3846
650	1854	3842
651	1855	3837
652	1857	3831
653	1859	3826
654	1861	3822
655	1863	3817
656	1865	3812
657	1868	3810
658	1870	3805
659	1872	3800
660	1873	3795
661	1875	3790
662	1877	3786
663	1879	3781
664	1881	3776
665	1883	3773
666	1885	3768
667	1887	3763
668	1888	3757
669	1890	3753
670	1892	3748
671	1894	3743
672	1895	3738
673	1898	3734
674	1900	3729
675	1901	3724
676	1903	3719
677	1904	3713
678	1906	3708
679	1908	3704
680	1910	3699
681	1912	3695
682	1914	3691
683	1916	3686
684	1917	3681
685	1920	3678
686	1921	3673
687	1923	3668
688	1927	3666
689	1931	3667
690	1933	3662
691	1935	3657
692	1937	3653
693	1938	3648
694	1940	3643
695	1943	3641
696	1945	3637
697	1947	3633
698	1948	3626
699	1950	3622
700	1952	3617
701	1954	3614
702	1956	3609
703	1958	3604
704	1960	3600
705	1962	3596
706	1964	3592
707	1966	3588
708	1967	3583
709	1969	3578
710	1971	3573
711	1973	3570
712	1975	3566
713	1977	3561
714	1978	3556
715	1980	3551
716	1982	3547
717	1984	3543
718	1986	3538
719	1987	3533
720	1989	3528
721	1990	3524
722	1992	3519
723	1994	3514
724	1995	3509
725	1997	3505
726	1999	3500
727	2002	3498
728	2006	3497
729	2010	3496
730	2012	3493
731	2016	3492
732	2021	3494
733	2024	3491
734	2027	3489
735	2030	3487
736	2032	3483
737	2038	3486
738	2041	3483
739	2043	3479
740	2053	3489
741	2057	3487
742	2059	3484
743	2064	3485
744	2066	3481
745	2188	3679
746	2190	3675
747	2192	3670
748	2194	3665
749	2196	3660
750	2198	3656
751	2201	3653
752	2204	3650
753	2206	3645
754	2208	3641
755	2210	3637
756	2212	3632
757	2214	3628
758	2221	3631
759	2226	3632
760	2244	3654
761	2250	3656
762	2253	3653
763	2254	3648
764	2256	3643
765	2259	3640
766	2261	3635
767	2265	3634
768	2267	3629
769	2268	3624
770	2270	3619
771	2272	3614
772	2274	3610
773	2275	3605
774	2277	3600
775	2282	3599
776	2283	3594
777	2286	3590
778	2287	3586
779	2289	3581
780	2291	3577
781	2295	3575
782	2298	3572
783	2300	3567
784	2302	3563
785	2304	3558
786	2305	3554
787	2307	3549
788	2311	3547
789	2313	3544
790	2315	3539
791	2317	3534
792	2320	3531
793	2321	3526
794	2323	3521
795	2326	3518
796	2329	3516
797	2331	3511
798	2333	3506
799	2334	3502
800	2336	3497
801	2338	3493
802	2342	3491
803	2344	3487
804	2346	3483
805	2348	3479
806	2350	3474
807	2352	3470
808	2355	3467
809	2359	3465
810	2360	3461
811	2364	3458
812	2366	3454
813	2367	3449
814	2369	3445
815	2371	3440
816	2375	3439
817	2379	3438
818	2381	3434
819	2384	3431
820	2386	3426
821	2388	3422
822	2391	3420
823	2394	3416
824	2395	3412
825	2397	3407
826	2399	3403
827	2401	3398
828	2404	3396
829	2407	3394
830	2409	3389
831	2411	3385
832	2413	3380
833	2415	3376
834	2416	3371
835	2419	3369
836	2423	3366
837	2424	3362
838	2426	3357
839	2427	3352
840	2430	3349
841	2432	3345
842	2436	3343
843	2439	3341
844	2442	3339
845	2445	3335
846	2447	3331
847	2448	3326
848	2452	3325
849	2454	3321
850	2456	3316
851	2458	3312
852	2459	3307
853	2461	3303
854	2463	3298
855	2464	3293
856	2468	3292
857	2470	3288
858	2472	3283
859	2473	3278
860	2474	3274
861	2476	3269
862	2478	3264
863	2479	3260
864	2483	3258
865	2485	3254
866	2486	3249
867	2488	3245
868	2489	3240
869	2491	3235
870	2492	3231
871	2494	3226
872	2496	3222
873	2500	3221
874	2501	3216
875	2503	3212
876	2505	3207
877	2506	3203
878	2508	3199
879	2510	3194
880	2513	3192
881	2516	3189
882	2518	3185
883	2519	3180
884	2521	3176
885	2522	3172
886	2524	3168
887	2526	3163
888	2530	3161
889	2534	3161
890	2537	3157
891	2538	3153
892	2541	3150
893	2545	3148
894	2547	3145
895	2549	3141
896	2551	3137
897	2552	3132
898	2554	3128
899	2556	3124
900	2557	3119
901	2560	3117
902	2562	3113
903	2564	3109
904	2566	3105
905	2568	3101
906	2570	3097
907	2571	3093
908	2573	3088
909	2576	3085
910	2578	3081
911	2580	3078
912	2581	3073
913	2583	3069
914	2585	3065
915	2586	3061
916	2588	3057
917	2591	3054
918	2593	3050
919	2595	3046
920	2597	3042
921	2599	3039
922	2601	3035
923	2602	3030
924	2605	3028
925	2608	3025
926	2609	3021
927	2611	3016
928	2613	3012
929	2614	3008
930	2617	3004
931	2618	3000
932	2621	2997
933	2623	2994
934	2625	2991
935	2627	2987
936	2629	2983
937	2631	2978
938	2632	2974
939	2634	2970
940	2638	2969
941	2641	2966
942	2644	2964
943	2646	2960
944	2647	2955
945	2649	2951
946	2651	2948
947	2657	2948
948	2659	2945
949	2661	2941
950	2663	2937
951	2665	2933
952	2667	2931
953	2670	2927
954	2672	2924
955	2674	2920
956	2675	2916
957	2677	2912
958	2679	2908
959	2680	2904
960	2683	2901
961	2685	2897
962	2687	2893
963	2688	2889
964	2690	2885
965	2693	2883
966	2699	2883
967	2704	2883
968	2708	2881
969	2713	2880
970	2717	2879
971	2719	2876
972	2721	2872
973	2723	2868
974	2724	2864
975	2726	2860
976	2728	2856
977	2730	2853
978	2732	2849
979	2733	2845
980	2735	2841
981	2737	2837
982	2739	2833
983	2740	2830
984	2742	2826
985	2744	2822
986	2746	2818
987	2748	2814
988	2749	2810
989	2751	2806
990	2752	2802
991	2754	2799
992	2756	2795
993	2758	2791
994	2760	2788
995	2762	2784
996	2764	2781
997	2766	2777
998	2768	2773
999	2770	2770
1000	2773	2767
1001	2778	2766
1002	2782	2765
1003	2786	2764
1004	2790	2762
1005	2796	2763
1006	2802	2763
1007	2807	2763
1008	2813	2763
1009	2816	2761
1010	2820	2759
1011	2824	2757
1012	2832	2759
1013	2834	2756
1014	2836	2752
1015	2838	2748
1016	2842	2747
1017	2844	2743
1018	2845	2739
1019	2847	2735
1020	2848	2731
1021	2850	2727
1022	2852	2724
1023	2854	2720
1024	2857	2718
1025	2859	2714
1026	2861	2711
1027	2863	2707
1028	2864	2703
1029	2866	2699
1030	2868	2695
1031	2871	2693
1032	2873	2690
1033	2875	2686
1034	2877	2682
1035	2879	2679
1036	2880	2675
1037	2882	2671
1038	2884	2667
1039	2886	2664
1040	2889	2661
1041	2890	2657
1042	2891	2653
1043	2893	2649
1044	2894	2645
1045	2896	2641
1046	2898	2638
1047	2900	2634
1048	2903	2632
1049	2905	2628
1050	2907	2625
1051	2910	2622
1052	2912	2619
1053	2915	2616
1054	2919	2614
1055	2921	2611
1056	2923	2607
1057	2924	2604
1058	2926	2600
1059	2928	2596
1060	2930	2593
1061	2933	2590
1062	2935	2587
1063	2937	2584
1064	2939	2580
1065	2941	2576
1066	2942	2573
1067	2944	2569
1068	2946	2566
1069	2950	2564
1070	2952	2560
1071	2953	2557
1072	2955	2553
1073	2957	2549
1074	2959	2546
1075	2960	2542
1076	2964	2540
1077	2967	2537
1078	2968	2534
1079	2970	2530
1080	2973	2527
1081	2975	2524
1082	2977	2520
1083	2979	2517
1084	2981	2514
1085	2984	2511
1086	2985	2508
1087	2988	2504
1088	2990	2501
1089	2992	2498
1090	2995	2495
1091	2997	2492
1092	2999	2488
1093	3001	2485
1094	3002	2481
1095	3004	2478
1096	3006	2474
1097	3008	2471
1098	3010	2468
1099	3012	2465
1100	3014	2461
1101	3016	2458
1102	3019	2455
1103	3023	2454
1104	3025	2450
1105	3028	2447
1106	3029	2444
1107	3031	2440
1108	3033	2436
1109	3034	2433
1110	3036	2429
1111	3038	2426
1112	3040	2423
1113	3042	2419
1114	3043	2415
1115	3045	2412
1116	3047	2409
1117	3049	2406
1118	3052	2402
1119	3053	2399
1120	3056	2397
1121	3059	2393
