iter	Passed	Remaining
0	2	5542
1	4	4734
2	6	4516
3	8	4480
4	10	4341
5	12	4280
6	14	4196
7	16	4152
8	18	4124
9	20	4116
10	22	4102
11	24	4082
12	30	4623
13	34	4918
14	38	5056
15	42	5243
16	45	5312
17	49	5447
18	52	5483
19	55	5481
20	60	5713
21	64	5793
22	66	5743
23	70	5843
24	76	6062
25	79	6044
26	81	5982
27	83	5904
28	86	5873
29	87	5757
30	92	5867
31	94	5838
32	98	5852
33	103	5974
34	105	5947
35	108	5943
36	112	5994
37	115	5988
38	119	5998
39	123	6036
40	125	6001
41	127	5960
42	130	5929
43	134	5961
44	136	5913
45	139	5931
46	141	5867
47	144	5881
48	147	5863
49	150	5852
50	151	5802
51	154	5775
52	156	5738
53	159	5737
54	161	5710
55	167	5816
56	169	5770
57	170	5724
58	173	5696
59	175	5669
60	177	5629
61	178	5580
62	180	5551
63	182	5521
64	184	5504
65	186	5475
66	190	5509
67	192	5468
68	200	5597
69	202	5571
70	204	5554
71	206	5521
72	207	5487
73	209	5442
74	210	5404
75	212	5370
76	213	5334
77	214	5297
78	217	5278
79	218	5239
80	219	5208
81	221	5184
82	223	5158
83	224	5120
84	227	5124
85	230	5128
86	231	5092
87	233	5082
88	299	6423
89	301	6405
90	304	6382
91	306	6354
92	309	6336
93	311	6312
94	313	6288
95	315	6258
96	317	6223
97	318	6188
98	319	6137
99	325	6180
100	330	6207
101	331	6167
102	333	6144
103	335	6117
104	336	6080
105	337	6039
106	340	6015
107	344	6030
108	348	6052
109	350	6017
110	352	6002
111	356	6010
112	359	6001
113	362	5996
114	367	6030
115	373	6073
116	377	6079
117	381	6087
118	383	6057
119	384	6026
120	387	6020
121	390	6017
122	393	5999
123	394	5968
124	396	5943
125	398	5931
126	402	5931
127	404	5911
128	408	5930
129	412	5938
130	414	5914
131	416	5889
132	419	5892
133	422	5887
134	425	5873
135	427	5854
136	430	5858
137	432	5832
138	434	5811
139	436	5801
140	439	5791
141	441	5776
142	444	5772
143	446	5760
144	450	5762
145	453	5756
