iter	MultiClass	Accuracy
0	1.084777409	0.8285714286
1	1.0710766	0.819047619
2	1.057411081	0.8571428571
3	1.046062077	0.8476190476
4	1.035878596	0.8761904762
5	1.018600601	0.8857142857
6	1.01082634	0.8857142857
7	0.9988011679	0.8666666667
8	0.9896133685	0.8761904762
9	0.9802319778	0.8761904762
10	0.9733955198	0.8761904762
11	0.9623568275	0.8666666667
12	0.9490617777	0.8857142857
13	0.9364206062	0.8857142857
14	0.9283058509	0.8952380952
15	0.9186904411	0.8952380952
16	0.9102398715	0.8952380952
17	0.9016969568	0.8952380952
18	0.8904673673	0.8857142857
19	0.8831916419	0.8952380952
20	0.8774378174	0.8952380952
21	0.8687247469	0.8857142857
22	0.8560176407	0.8857142857
23	0.8492069771	0.8857142857
24	0.8399434718	0.8857142857
25	0.8325982302	0.8857142857
26	0.8236918171	0.8952380952
27	0.8149207807	0.8952380952
28	0.8085324207	0.8952380952
29	0.8008722619	0.8952380952
30	0.7923575164	0.8952380952
31	0.7860863309	0.8952380952
32	0.7785348464	0.8952380952
33	0.7720644659	0.8952380952
34	0.764320976	0.9047619048
35	0.7583444102	0.9047619048
36	0.7516687061	0.9142857143
37	0.746039119	0.9142857143
38	0.7399206524	0.9142857143
39	0.7337943412	0.9142857143
40	0.7294493992	0.9142857143
41	0.722256714	0.9047619048
42	0.71697341	0.9047619048
43	0.7078206014	0.9142857143
44	0.7022941697	0.9142857143
45	0.6965903688	0.9142857143
46	0.6877276798	0.9238095238
47	0.6826163213	0.9238095238
48	0.6772917784	0.9238095238
49	0.6726630345	0.9238095238
50	0.667748825	0.9238095238
51	0.6632672117	0.9333333333
52	0.6575381109	0.9333333333
53	0.6512111362	0.9333333333
54	0.6448223841	0.9333333333
55	0.6396513129	0.9333333333
56	0.6333177979	0.9333333333
57	0.6285114418	0.9333333333
58	0.6240415542	0.9333333333
59	0.6189894375	0.9428571429
60	0.6140362027	0.9428571429
61	0.6093108848	0.9428571429
62	0.6042137691	0.9428571429
63	0.6000100243	0.9428571429
64	0.5963382637	0.9619047619
65	0.5922373257	0.9619047619
66	0.5864231377	0.9619047619
67	0.5817536315	0.9619047619
68	0.5771197653	0.9619047619
69	0.5731934617	0.9619047619
70	0.5686758694	0.9619047619
71	0.5642215567	0.9714285714
72	0.5610247032	0.9714285714
73	0.5573817692	0.9714285714
74	0.5526767218	0.9714285714
75	0.5496785879	0.9714285714
76	0.5457484398	0.9714285714
77	0.5428227754	0.9714285714
78	0.53917934	0.9714285714
79	0.5349217709	0.9714285714
80	0.5318556623	0.9714285714
81	0.5276198668	0.9714285714
82	0.5248093521	0.9714285714
83	0.5216627878	0.9714285714
84	0.5186307944	0.9714285714
85	0.5153164814	0.9714285714
86	0.5130913142	0.9714285714
87	0.5097578349	0.9714285714
88	0.5063370501	0.9714285714
89	0.5025771457	0.9714285714
90	0.4982970808	0.9714285714
91	0.4936759732	0.9714285714
92	0.4902957525	0.9619047619
93	0.4865300283	0.9714285714
94	0.4831952907	0.9619047619
95	0.4802647917	0.9619047619
96	0.4766839619	0.9714285714
97	0.4740358724	0.9714285714
98	0.4703825764	0.9619047619
99	0.4671217438	0.9714285714
100	0.4649474116	0.9714285714
101	0.4611838125	0.9714285714
102	0.4583836428	0.9714285714
103	0.4537899126	0.9714285714
104	0.4504230525	0.9714285714
105	0.4471541804	0.9714285714
106	0.4451425068	0.9714285714
107	0.4419948428	0.9714285714
108	0.4401171242	0.9714285714
109	0.4374712071	0.9714285714
110	0.4345121724	0.9714285714
111	0.4315095508	0.9714285714
112	0.4282184626	0.9714285714
113	0.4262075298	0.9714285714
114	0.4240920471	0.9714285714
115	0.4206593162	0.9714285714
116	0.4181258697	0.9714285714
117	0.4160399174	0.9714285714
118	0.4131484953	0.9714285714
119	0.410433646	0.9714285714
120	0.4074294377	0.9714285714
121	0.4047017388	0.9714285714
122	0.4025815116	0.9714285714
123	0.40051987	0.9714285714
124	0.3974643828	0.9714285714
125	0.3950569662	0.9714285714
126	0.3915514425	0.9714285714
127	0.3875969438	0.9714285714
128	0.3854581751	0.9714285714
129	0.3828502843	0.9714285714
130	0.3807014989	0.9714285714
131	0.3782090972	0.9714285714
132	0.3756254041	0.9714285714
133	0.3737597495	0.9714285714
134	0.3716203975	0.9714285714
135	0.3697454757	0.9714285714
136	0.366440002	0.9714285714
137	0.3638825543	0.9714285714
138	0.3615240903	0.9714285714
139	0.3598659451	0.9714285714
140	0.3579286786	0.9714285714
141	0.3555552688	0.9714285714
142	0.3535344753	0.9714285714
143	0.3520751321	0.9714285714
144	0.3493433021	0.9714285714
145	0.3476528818	0.9714285714
146	0.345484703	0.9714285714
147	0.3436046122	0.9714285714
148	0.3419876892	0.9714285714
149	0.3395990369	0.9714285714
150	0.3380002155	0.9714285714
151	0.335645486	0.9714285714
152	0.3342757867	0.9714285714
153	0.3327998187	0.9714285714
154	0.3308516527	0.9714285714
155	0.3290168774	0.9714285714
156	0.3272093861	0.9714285714
157	0.3259290698	0.9714285714
158	0.3241553531	0.9714285714
159	0.3227148914	0.9714285714
160	0.320939295	0.9714285714
161	0.3196765641	0.9714285714
162	0.3179812674	0.9714285714
163	0.3161725079	0.9714285714
164	0.3142672819	0.9714285714
165	0.3127380342	0.9714285714
166	0.31016043	0.9714285714
167	0.3086802198	0.9714285714
168	0.3070211785	0.9714285714
169	0.3046840718	0.9714285714
170	0.3026131694	0.9714285714
171	0.3015300015	0.980952381
172	0.3004014439	0.980952381
173	0.2986926138	0.980952381
174	0.2967386124	0.980952381
175	0.2952588265	0.980952381
176	0.2936933754	0.980952381
177	0.2918375947	0.980952381
178	0.2904469206	0.980952381
179	0.2890483126	0.980952381
180	0.2872044429	0.980952381
181	0.2859585816	0.980952381
182	0.2844456122	0.980952381
183	0.2833965703	0.980952381
184	0.2819138772	0.980952381
185	0.2807241532	0.980952381
186	0.2793387227	0.980952381
187	0.2776960151	0.980952381
188	0.276208578	0.980952381
189	0.274594886	0.980952381
190	0.2734565812	0.980952381
191	0.2720096553	0.980952381
192	0.2704332427	0.980952381
193	0.2685557855	0.980952381
194	0.2673154662	0.9904761905
195	0.2657820867	0.9904761905
196	0.2645721552	0.980952381
197	0.2633257029	0.9904761905
198	0.2620537383	0.9904761905
199	0.2603956732	0.9904761905
200	0.258815636	0.9904761905
201	0.2577204865	0.9904761905
202	0.2565299064	0.9904761905
203	0.2552839861	0.9904761905
204	0.2537482389	0.9904761905
205	0.2522607257	0.9904761905
206	0.2509408094	0.9904761905
207	0.2497725587	0.9904761905
208	0.2485369615	0.9904761905
209	0.2472840489	0.9904761905
210	0.2461872927	0.9904761905
211	0.2452017475	0.9904761905
212	0.2439197229	0.9904761905
213	0.2421890725	0.9904761905
214	0.2408877624	0.9904761905
215	0.2397803622	0.9904761905
216	0.2384313802	0.9904761905
217	0.2371285914	0.9904761905
218	0.2356154153	0.9904761905
219	0.2346142566	0.9904761905
220	0.2328857644	0.9904761905
221	0.2315697274	0.9904761905
222	0.230473903	0.9904761905
223	0.2292288853	0.9904761905
224	0.2278884854	1
225	0.2268152166	1
226	0.2255409918	1
227	0.2243404483	1
228	0.2232120358	1
229	0.2221982328	1
230	0.2210710773	1
231	0.2196585692	1
232	0.2183384157	1
233	0.2171712453	1
234	0.2157352282	1
235	0.2144724696	1
236	0.2131311741	1
237	0.2116685275	1
238	0.2106953904	1
239	0.2090894113	1
240	0.2077251225	1
241	0.2067988897	1
242	0.2057876282	1
243	0.204515403	1
244	0.2030831124	1
245	0.2018594194	1
246	0.2009569872	1
247	0.1999447973	1
248	0.1989094724	1
249	0.1978938092	1
250	0.1967216828	1
251	0.195432756	1
252	0.1942612481	1
253	0.19322259	1
254	0.1918973992	1
255	0.1903754442	1
256	0.189436297	1
257	0.1883625206	1
258	0.1874093296	1
259	0.1865964792	1
260	0.1858352342	1
261	0.1847554531	1
262	0.183789568	1
263	0.1827641573	1
264	0.1818356836	1
265	0.1809115342	1
266	0.1800771679	1
267	0.1789439188	1
268	0.1780963004	1
269	0.1773116182	1
270	0.1766130099	1
271	0.1756590368	1
272	0.1746103091	1
273	0.1737585653	1
274	0.172824101	1
275	0.1719143344	1
276	0.1710365996	1
277	0.1703047781	1
278	0.1695580646	1
279	0.1688757206	1
280	0.1679542741	1
281	0.1670380656	1
282	0.1663346118	1
283	0.1656212299	1
284	0.1646066142	1
285	0.1637893711	1
286	0.1629169566	1
287	0.1621837494	1
288	0.1614785474	1
289	0.1609464271	1
290	0.1602760521	1
291	0.1592934742	1
292	0.1585979363	1
293	0.1580942052	1
294	0.1573621661	1
295	0.1567214992	1
296	0.1561406979	1
297	0.1553798116	1
298	0.1547480971	1
299	0.1540882311	1
300	0.1534720776	1
301	0.152863387	1
302	0.1521298086	1
303	0.1515381768	1
304	0.1507927361	1
