iter	MultiClass	Accuracy
0	1.079044	0.8628571429
1	1.065238815	0.8685714286
2	1.04696265	0.8628571429
3	1.033137917	0.84
4	1.018195043	0.8628571429
5	1.007224303	0.8457142857
6	0.9944638759	0.8628571429
7	0.9807531966	0.8685714286
8	0.9671915562	0.8571428571
9	0.9567771272	0.8685714286
10	0.9422520629	0.8628571429
11	0.9271714456	0.88
12	0.9168210235	0.8742857143
13	0.904467687	0.88
14	0.8950651086	0.8742857143
15	0.8838207347	0.8857142857
16	0.8704838243	0.88
17	0.8545225358	0.8971428571
18	0.8444279022	0.8857142857
19	0.8338964786	0.8857142857
20	0.8250036059	0.8914285714
21	0.8126165653	0.8914285714
22	0.799318052	0.8857142857
23	0.7903703527	0.8914285714
24	0.7808950171	0.8914285714
25	0.7718984853	0.8857142857
26	0.7619917101	0.88
27	0.7534644143	0.88
28	0.7460261012	0.8857142857
29	0.7388152715	0.8857142857
30	0.7312363057	0.8857142857
31	0.7241908348	0.8914285714
32	0.7155973342	0.8857142857
33	0.709942841	0.8857142857
34	0.7023166068	0.8914285714
35	0.6955292918	0.8914285714
36	0.688637393	0.8857142857
37	0.6818349689	0.8971428571
38	0.6749211686	0.8971428571
39	0.668575152	0.8971428571
40	0.6622172181	0.8971428571
41	0.6555708371	0.8971428571
42	0.6486162287	0.8971428571
43	0.6420245446	0.8971428571
44	0.6364275825	0.8914285714
45	0.6309544414	0.8914285714
46	0.6245220771	0.8857142857
47	0.6205828951	0.8857142857
48	0.6147493547	0.8857142857
49	0.609374801	0.8914285714
50	0.6040868523	0.8857142857
51	0.5989950609	0.8971428571
52	0.5924942412	0.9028571429
53	0.5881461753	0.9028571429
54	0.5822731034	0.8971428571
55	0.577578063	0.9028571429
56	0.5729243022	0.9028571429
57	0.5670668574	0.9028571429
58	0.5628854246	0.9028571429
59	0.5574578047	0.9028571429
60	0.5510882152	0.9085714286
61	0.546644517	0.9085714286
62	0.5422868948	0.9085714286
63	0.5380434653	0.9085714286
64	0.533745849	0.9085714286
65	0.5286569732	0.9085714286
66	0.5240804067	0.9085714286
67	0.5190788753	0.9085714286
68	0.5146908413	0.9085714286
69	0.5100981172	0.9085714286
70	0.5063400592	0.9085714286
71	0.5028623945	0.9085714286
72	0.4992740342	0.9085714286
73	0.4959927212	0.9085714286
74	0.4930053405	0.9085714286
75	0.4888887361	0.9085714286
76	0.4851327072	0.9085714286
77	0.4806738218	0.9085714286
78	0.4773857343	0.9142857143
79	0.4741162182	0.9085714286
80	0.470425168	0.9085714286
81	0.4667848106	0.9085714286
82	0.464270646	0.9085714286
83	0.4613182111	0.9142857143
84	0.4581614485	0.9085714286
85	0.4545024326	0.9085714286
86	0.4515066624	0.9142857143
87	0.4492105555	0.9142857143
88	0.4459702315	0.9142857143
89	0.4431532866	0.9142857143
90	0.4401313279	0.92
91	0.4367625059	0.92
92	0.4337418742	0.9257142857
93	0.4307346498	0.92
94	0.4272977742	0.92
95	0.4237093575	0.92
96	0.4200021439	0.9257142857
97	0.4178210856	0.9257142857
98	0.4145596155	0.9257142857
99	0.4128695587	0.9257142857
100	0.4104198315	0.9257142857
101	0.4084302522	0.9314285714
102	0.4067715521	0.9314285714
103	0.4043350075	0.9314285714
104	0.4025059015	0.9257142857
105	0.4003880887	0.9314285714
106	0.3985194386	0.9314285714
107	0.3951788245	0.9314285714
108	0.3926088856	0.9314285714
109	0.3905711611	0.9314285714
110	0.3886864057	0.9314285714
111	0.3868706667	0.9314285714
112	0.3851800116	0.9314285714
113	0.3830964954	0.9428571429
114	0.3806961414	0.9371428571
115	0.3775516128	0.9428571429
116	0.3747532097	0.9428571429
117	0.3737162533	0.9428571429
118	0.3718420309	0.9428571429
119	0.3701196868	0.9428571429
120	0.3683353972	0.9428571429
121	0.3653186193	0.9428571429
122	0.3633056134	0.9428571429
123	0.361526161	0.9428571429
124	0.3596469079	0.9428571429
125	0.3574931584	0.9428571429
126	0.3553882144	0.9428571429
127	0.3530099246	0.9428571429
128	0.351029879	0.9428571429
